Name,Art,BRT,BRZ,DWT,Verdrängung,Länge,Breite,Höhe,Tiefgg,Jahr Dienstbeginn,Status
Prelude FLNG,FLNG-Plattform,,300000,,,488.00,74.00,105.00,,,in Bau
Jahre Viking,Tanker,,260941,564650,647955,458.45,68.80,,24.61,,abgewrackt
Pierre Guillaumat,Tanker,277000,274838,555051,630962,414.23,63.05,,28.60,1977,abgewrackt 
UASC Barzan,Containerschiff,,193300,190000,,400.00,58.60,,16.00,,in Dienst
Majestic Mærsk,Containerschiff,,194849,194153,,399.00,59.00,73.00,15.50,2013,in Dienst
Emma Mærsk,Containerschiff,,176794,158200,218788,397.00,56.40,69.40,16.50,2006,in Dienst
CMA CGM Marco Polo,Containerschiff,,175343,187625,,396.00,53.60,,16.00,,in Dienst
MSC Oscar,Containerschiff,,192237 ,199273,,395.40,59.00,,16.00,,in Dienst
Pioneering Spirit,Rohrleger,,403342 ,,900000 ,382.00,123.75,,27.00,,in Ausrüstung
TI Europe,Tanker,,234006,442000,,380.00,68.00,34.00,24.53,,in Dienst
Esso Atlantic/Esso Pacific,Tanker,,,,,378,69,28.70,22.92,,abgewrackt
Nanny,Tanker,,245140,491120,,364.04,79.04,30.50,24.00,,abgewrackt
Vale Brasil,Massengutfrachter,,198980,402347,,362.00,65.06,30.40,23.00,,in Dienst
Oasis of the Seas,Kreuzfahrtschiff,,225282,15000,100000,361.00,60.50,65.00,9.30,,in Dienst
Quantum of the Seas,Kreuzfahrtschiff,,167800,,,348,41.40,,,,in Dienst
Queen Mary 2,Passagierschiff,,148528,19189,76000,345.03,41.08,72.00,9.95,,in Dienst 
USS Enterprise,Flugzeugträger,,,17580,93284,342.30,78.30,76.20,12.00,,außer Dienst  
Freedom of the Seas,Kreuzfahrtschiff,,154407,10500,71000,338.75,38.59,72.30,8.80,,in Dienst 
USS Nimitz,Flugzeugträger,,,17580,97000,332.85,76.80,,12.50,,in Dienst 
Norwegian Epic,Kreuzfahrtschiff,,155873,10850,,329.45,40.60,,8.70,,in Dienst
Queen Elizabeth 2,Passagierschiff,,70327,15521,48923,293.53,32.09,,9.90,,außer Dienst
Vaterland,Passagierschiff,54282,,,,289.56,30.48,,,1914,abgewrackt
Kizomba A,FPSO-Plattform,,187864 ,340660 ,,285.00,63.00,32.00,24.40,,in Dienst
Dockwise Vanguard,Halbtaucherschiff,,91784,,,275.00,78.75,15.50,11.00,,in Fahrt
RMS Olympic,Passagierschiff,46329,,,53147,269.04,28.19,,10.54,,abgewrackt
Tønsberg,Autotransporter,,76500,,41820,265.00,32.26,,11.00,,in Dienst
Yamato,Schlachtschiff,,,,72000,263.00,38.90,,10.80,1941,gesunken 
HMS Hood,Schlachtschiff,,,,41200,262.30,32.00,31.70,10.10,1918,gesunken 
Bismarck,Schlachtschiff,,,,50300,250.50,36.00,,9.90,1939,gesunken
Stena Britannica,Fähre,,64039,11600,,240.00,32.00,,6.40,,in Dienst
Blue Marlin,Halbtaucherschiff,,51821,76061,,224.80,63.08,,13.30,,in Dienst 
Color Magic,Fähre,,75156,,,223.75,35.00,,6.80,, In Fahrt
Cristóbal Colón,Hopperbagger,,,,78000,223.00,41.00,,15.15,,in Dienst
Great Eastern,Segeldampfer,18915,,,32000,211.00,23.50,,9.10,,abgewrackt
Ulysses,Fähre,,50938,10722,27425,209.02,31.84,,6.40,2001,in Dienst 
Hughes Glomar Explorer,Bergungsschiff,,,,63000,188.70,35.30,,10.70,,in Dienst
Club Med 2,Motorsegelschiff,,19983,,,187.00,20.00,68.00,5.00,,in Dienst
TK-208 Dmitri Donskoj,Unterseeboot,,,,25000,168.30,23.60,12.30,11.00,,in Dienst 
Arktika,Eisbrecher,,20646,2750,23460,147.90,29.90,55.00,11.00,,in Dienst 
Azzam,Motoryacht,,,,,180.0,20.80,,,2013,in Dienst
France,Frachtsegler,5633,,7417,10710,149.5,16.90,64.50,8.50,1911,gestrandet
Archangelsk,Unterseeboot,,,,16700,143.60,17.70,9.84,,,in Dienst
Royal Clipper,Segelschiff,,4425,1000,,133.74,16.28,,5.60,,in Dienst 
Stena Explorer,Fährkatamaran,,19638,1500,,126.60,40.00,,4.80,,in Dienst
Far Samson,Schlepper,,14740,,,121.5,26.00,,8.49,,in Dienst 
KL Sandefjord,Schlepper,,7800,,,95.00,24.00,,7.82,,in Dienst 
Hermann Marwede,Seenotrettungskreuzer,,,,404,46.00,10.25,,2.80,2003,in Dienst 
Extreme 40-Klasse,Segelkatamaran,,,,1.25,12.19,7.92,18.9,,2005,in Dienst 
America’s Cup,Segelkatamaran,,,,24,26,4.50,33,4.10,1992,in Dienst 
Preußen,5-Mast-Frachtsegler,,,,11650,147,16.34,59.74,8.26,1902,gestrandet 
