Moby Dick contains   218454 words.14440	the
 6614	of
 6433	and
 4726	a
 4625	to
 4173	in
 3085	that
 2530	his
 2521	it
 2123	i
 1896	he
 1818	but
 1800	s
 1742	as
 1726	is
 1723	with
 1644	was
 1620	for
 1526	all
 1378	this
 1320	at
 1226	whale
 1205	by
 1151	not
 1090	from
 1065	him
 1064	so
 1061	on
 1045	be
  922	one
  893	you
  869	there
  786	now
  779	had
  768	have
  714	or
  684	were
  667	they
  648	which
  647	like
  632	me
  627	then
  620	their
  618	what
  618	some
  606	when
  598	are
  596	an
  589	my
  581	no
  566	upon
  536	out
  526	man
  523	into
  521	up
  518	ship
  510	ahab
  508	more
  481	if
  472	them
  471	ye
  461	we
  455	sea
  450	old
  432	would
  417	other
  415	been
  409	over
  401	these
  391	will
  383	though
  377	down
  376	only
  376	its
  370	such
  363	who
  345	yet
  344	head
  336	boat
  334	time
  332	long
  332	her
  329	captain
  327	any
  324	here
  322	very
  312	still
  310	about
  309	than
  307	do
  306	those
  306	great
  298	two
  298	said
  298	before
  292	has
  291	t
  283	seemed
  283	must
  282	most
  281	white
  277	last
  271	way
  271	thou
  271	see
  270	after
  268	whales
  259	again
  258	did
  257	stubb
  255	how
  252	queequeg
  249	your
  249	little
  247	round
  246	while
  245	three
  244	sperm
  244	men
  243	say
  240	may
  236	can
  233	through
  232	every
  230	well
  229	us
  226	first
  225	being
  223	much
  220	where
  220	off
  216	good
  216	could
  214	same
  214	hand
  208	side
  207	our
  206	never
  206	ever
  205	own
  205	look
  204	himself
  198	starbuck
  195	deck
  195	almost
  194	go
  191	even
  190	water
  188	thing
  185	too
  183	should
  183	might
  183	away
  179	come
  178	made
  176	world
  176	day
  174	sir
  174	life
  173	pequod
  172	chapter
  169	fish
  167	among
  166	many
  165	seen
  165	far
  164	back
  158	let
  157	line
  156	without
  156	oh
  156	nor
  156	eyes
  155	aye
  153	cried
  152	sort
  152	know
  151	god
  150	thought
  150	right
  150	night
  149	part
  149	once
  146	boats
  143	air
  139	don
  139	crew
  137	whole
  137	take
  136	half
  135	tell
  134	against
  132	thus
  132	things
  131	whaling
  130	thee
  130	soon
  130	came
  129	mast
  129	hands
  128	small
  128	each
  127	feet
  124	both
  123	something
  123	full
  122	till
  122	think
  120	under
  120	she
  120	between
  119	why
  117	just
  116	saw
  116	place
  116	called
  115	found
  115	another
  114	towards
  114	poor
  114	nothing
  114	ll
  113	thy
  112	times
  112	make
  110	heard
  110	body
  110	along
  108	high
  108	flask
  107	stand
  105	sight
  105	moment
  103	voyage
  102	sun
  102	sail
  100	end
   99	new
   98	strange
   98	hold
   97	went
   97	shall
   96	years
   96	nantucket
   96	leviathan
   95	however
   95	get
   95	face
   95	does
   93	few
   92	dead
   92	black
   92	because
   91	whether
   91	heart
   91	also
   90	stood
   90	oil
   90	death
   90	am
   89	perhaps
   89	leg
   89	indeed
   89	going
   89	certain
   89	arm
   88	eye
   87	whose
   87	true
   87	sometimes
   87	ships
   87	seems
   87	seas
   87	matter
   87	iron
   86	heads
   86	give
   85	seem
   85	jonah
   84	wild
   84	moby
   84	hard
   84	dick
   84	cabin
   83	soul
   83	itself
   82	standing
   82	days
   81	sailor
   81	ocean
   81	mind
   81	harpooneer
   80	young
   80	present
   80	land
   80	known
   80	always
   79	tail
   79	mate
   79	large
   79	ere
   78	within
   78	light
   78	length
   78	lay
   77	instant
   76	word
   76	set
   76	open
   76	least
   76	harpoon
   76	fire
   76	bildad
   76	beneath
   76	bed
   75	yes
   75	enough
   74	pip
   74	peleg
   74	morning
   74	four
   74	board
   73	vast
   73	put
   73	living
   73	done
   72	whalemen
   72	rather
   72	point
   72	often
   72	case
   71	top
   70	wind
   70	near
   70	looking
   70	deep
   69	waters
   69	name
   69	myself
   69	keep
   69	general
   69	cannot
   68	business
   67	therefore
   67	left
   66	turned
   66	lord
   66	having
   66	best
   65	work
   65	since
   65	fishery
   65	boy
   64	together
   64	st
   64	reason
   64	order
   64	lower
   64	looked
   64	king
   64	d
   63	mr
   63	hear
   63	better
   62	fast
   62	blood
   62	aloft
   61	turn
   61	mouth
   61	further
   60	spout
   60	short
   60	live
   60	book
   59	rope
   59	gone
   59	fine
   59	chase
   58	watch
   58	themselves
   58	jaw
   58	dark
   58	broad
   58	above
   57	tashtego
   57	room
   57	indian
   57	feel
   56	second
   56	peculiar
   56	ivory
   56	home
   56	harpooneers
   56	find
   56	devil
   56	close
   55	vessel
   55	savage
   55	next
   55	goes
   55	entire
   55	cook
   55	call
   55	bottom
   54	try
   54	stern
   54	run
   54	mark
   54	ground
   54	green
   54	grand
   54	fellow
   54	curious
   54	craft
   54	coming
   53	turning
   53	taking
   53	main
   53	less
   53	cut
   53	comes
   53	began
   52	speak
   52	slowly
   52	sailors
   52	forward
   52	forth
   52	coffin
   51	thousand
   51	taken
   51	sharks
   51	rest
   51	heaven
   51	bone
   50	wide
   50	suddenly
   50	nevertheless
   50	hundred
   50	broken
   50	besides
   50	behind
   49	took
   49	teeth
   49	struck
   49	story
   49	particular
   49	monster
   49	english
   49	common
   49	carpenter
   49	bows
   49	bones
   49	below
   48	waves
   48	voice
   48	view
   48	used
   48	ten
   48	stranger
   48	pull
   48	lost
   47	told
   47	several
   47	quarter
   47	mighty
   47	kept
   46	whatever
   46	whaleman
   46	touching
   46	sure
   46	straight
   46	sleep
   46	says
   46	running
   46	people
   46	making
   46	got
   46	form
   46	fact
   46	else
   46	earth
   46	chance
   45	sat
   45	sails
   45	lance
   45	door
   45	caught
   45	blue
   44	whom
   44	somehow
   44	queer
   44	o
   44	noble
   44	nigh
   44	mine
   44	means
   44	house
   44	five
   44	especially
   43	seamen
   43	rolled
   43	knew
   43	bow
   43	anything
   42	wondrous
   42	surface
   42	sudden
   42	sharp
   42	ready
   42	passed
   42	nature
   42	mere
   42	hole
   42	em
   42	creature
   42	coast
   41	sound
   41	quite
   41	pipe
   41	parts
   41	hours
   41	felt
   41	course
   41	clear
   41	calm
   41	brow
   41	art
   41	alone
   40	wake
   40	steelkilt
   40	saying
   40	red
   40	quick
   40	purpose
